date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2025-12-19,topix,3372.42,3397.08,3366.77,3383.66,2746680000,OK,kabutan,3383.66,yahoo_jp,3383.66,2026-08-12T14:25:46.765409+09:00
2025-12-22,topix,3415.79,3422.54,3402.62,3405.17,2083100000,OK,kabutan,3405.17,yahoo_jp,3405.17,2026-08-12T14:25:46.765409+09:00
2025-12-23,topix,3410.03,3427.87,3408.66,3423.25,1808820000,OK,kabutan,3423.25,yahoo_jp,3423.25,2026-08-12T14:25:46.765409+09:00
2025-12-24,topix,3422.35,3430.89,3403.67,3407.37,1705770000,OK,kabutan,3407.37,yahoo_jp,3407.37,2026-08-12T14:25:46.765409+09:00
2025-12-25,topix,3420.23,3420.23,3405.03,3417.98,1337210000,OK,kabutan,3417.98,yahoo_jp,3417.98,2026-08-12T14:25:46.765409+09:00
2025-12-26,topix,3423.51,3436.75,3411.48,3423.06,1626050000,OK,kabutan,3423.06,yahoo_jp,3423.06,2026-08-12T14:25:46.765409+09:00
2025-12-29,topix,3422.0,3431.89,3409.09,3426.52,1696780000,OK,kabutan,3426.52,yahoo_jp,3426.52,2026-08-12T14:25:46.765409+09:00
2025-12-30,topix,3419.15,3425.1,3408.97,3408.97,1567980000,OK,kabutan,3408.97,yahoo_jp,3408.97,2026-08-12T14:25:46.765409+09:00
2026-01-05,topix,3448.77,3486.0,3448.77,3477.52,2225560000,OK,kabutan,3477.52,yahoo_jp,3477.52,2026-08-12T14:25:46.765409+09:00
2026-01-06,topix,3505.53,3539.98,3505.39,3538.44,2464870000,OK,kabutan,3538.44,yahoo_jp,3538.44,2026-08-12T14:25:46.765409+09:00
2026-01-07,topix,3508.91,3526.56,3502.81,3511.34,2389930000,OK,kabutan,3511.34,yahoo_jp,3511.34,2026-08-12T14:25:46.765409+09:00
2026-01-08,topix,3501.66,3509.82,3481.76,3484.34,2330960000,OK,kabutan,3484.34,yahoo_jp,3484.34,2026-08-12T14:25:46.765409+09:00
2026-01-09,topix,3494.87,3518.34,3488.24,3514.11,2297360000,OK,kabutan,3514.11,yahoo_jp,3514.11,2026-08-12T14:25:46.765409+09:00
2026-01-13,topix,3566.42,3604.16,3562.62,3598.89,2738790000,OK,kabutan,3598.89,yahoo_jp,3598.89,2026-08-12T14:25:46.765409+09:00
2026-01-14,topix,3612.71,3644.16,3607.83,3644.16,2469680000,OK,kabutan,3644.16,yahoo_jp,3644.16,2026-08-12T14:25:46.765409+09:00
2026-01-15,topix,3636.25,3674.71,3636.25,3668.98,2445260000,OK,kabutan,3668.98,yahoo_jp,3668.98,2026-08-12T14:25:46.765409+09:00
2026-01-16,topix,3655.81,3666.47,3642.63,3658.68,2414020000,OK,kabutan,3658.68,yahoo_jp,3658.68,2026-08-12T14:25:46.765409+09:00
2026-01-19,topix,3634.9,3657.98,3619.82,3656.4,2154320000,OK,kabutan,3656.4,yahoo_jp,3656.4,2026-08-12T14:25:46.765409+09:00
2026-01-20,topix,3640.56,3646.15,3619.73,3625.6,2169740000,OK,kabutan,3625.6,yahoo_jp,3625.6,2026-08-12T14:25:46.765409+09:00
2026-01-21,topix,3577.95,3599.76,3568.9,3589.7,2284100000,OK,kabutan,3589.7,yahoo_jp,3589.7,2026-08-12T14:25:46.765409+09:00
2026-01-22,topix,3625.13,3632.55,3614.16,3616.38,2414840000,OK,kabutan,3616.38,yahoo_jp,3616.38,2026-08-12T14:25:46.765409+09:00
