date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2025-08-27,growth250,785.94,785.94,777.15,,231234600,SINGLE_SOURCE,kabutan,778.68,,,2026-08-12T14:26:15.916612+09:00
2025-08-28,growth250,776.48,777.08,772.05,,321855000,SINGLE_SOURCE,kabutan,776.06,,,2026-08-12T14:26:15.916612+09:00
2025-08-29,growth250,777.07,782.99,776.96,,277557800,SINGLE_SOURCE,kabutan,780.32,,,2026-08-12T14:26:15.916612+09:00
2025-09-01,growth250,773.98,785.27,773.18,,322707600,SINGLE_SOURCE,kabutan,777.98,,,2026-08-12T14:26:15.916612+09:00
2025-09-02,growth250,779.58,783.5,771.39,,305487700,SINGLE_SOURCE,kabutan,774.48,,,2026-08-12T14:26:15.916612+09:00
2025-09-03,growth250,771.02,771.02,756.45,,411716200,SINGLE_SOURCE,kabutan,757.48,,,2026-08-12T14:26:15.916612+09:00
2025-09-04,growth250,758.12,761.4,754.61,,319708500,SINGLE_SOURCE,kabutan,759.64,,,2026-08-12T14:26:15.916612+09:00
2025-09-05,growth250,761.26,766.63,758.83,,292846200,SINGLE_SOURCE,kabutan,766.63,,,2026-08-12T14:26:15.916612+09:00
2025-09-08,growth250,772.85,780.85,771.56,,244983100,SINGLE_SOURCE,kabutan,774.37,,,2026-08-12T14:26:15.916612+09:00
2025-09-09,growth250,778.54,784.54,766.85,,252915500,SINGLE_SOURCE,kabutan,771.33,,,2026-08-12T14:26:15.916612+09:00
2025-09-10,growth250,772.82,773.17,764.22,,283846300,SINGLE_SOURCE,kabutan,772.16,,,2026-08-12T14:26:15.916612+09:00
2025-09-11,growth250,773.34,774.39,760.79,,229080000,SINGLE_SOURCE,kabutan,763.48,,,2026-08-12T14:26:15.916612+09:00
2025-09-12,growth250,768.87,768.87,758.56,,248372200,SINGLE_SOURCE,kabutan,761.79,,,2026-08-12T14:26:15.916612+09:00
2025-09-16,growth250,763.1,767.74,756.32,,320153400,SINGLE_SOURCE,kabutan,765.74,,,2026-08-12T14:26:15.916612+09:00
2025-09-17,growth250,764.31,768.53,760.03,,252643100,SINGLE_SOURCE,kabutan,763.49,,,2026-08-12T14:26:15.916612+09:00
2025-09-18,growth250,765.55,768.38,759.38,,281725400,SINGLE_SOURCE,kabutan,761.53,,,2026-08-12T14:26:15.916612+09:00
2025-09-19,growth250,765.5,772.99,755.61,,320013900,SINGLE_SOURCE,kabutan,772.99,,,2026-08-12T14:26:15.916612+09:00
2025-09-22,growth250,776.81,780.88,772.43,,343641200,SINGLE_SOURCE,kabutan,774.98,,,2026-08-12T14:26:15.916612+09:00
2025-09-24,growth250,773.63,773.63,765.45,,313884100,SINGLE_SOURCE,kabutan,766.78,,,2026-08-12T14:26:15.916612+09:00
2025-09-25,growth250,765.64,766.12,759.16,,285046500,SINGLE_SOURCE,kabutan,761.77,,,2026-08-12T14:26:15.916612+09:00
2025-09-26,growth250,762.02,768.18,759.74,,342903500,SINGLE_SOURCE,kabutan,763.29,,,2026-08-12T14:26:15.916612+09:00
2025-09-29,growth250,766.74,766.74,755.77,,427736700,SINGLE_SOURCE,kabutan,756.36,,,2026-08-12T14:26:15.916612+09:00
2025-09-30,growth250,754.83,754.85,743.21,,283404300,SINGLE_SOURCE,kabutan,745.4,,,2026-08-12T14:26:15.916612+09:00
2025-10-01,growth250,740.09,740.91,720.06,,448789500,SINGLE_SOURCE,kabutan,720.06,,,2026-08-12T14:26:15.916612+09:00
